ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
0.592	0.525	0.564	0.523	0.527
0.380	0.251	0.924	0.189	0.324
0.090	0.036	0.847	-0.156	0.033
0.310	0.226	0.346	0.186	0.220
0.645	0.610	0.599	0.613	0.610
0.960	0.855	1.547	0.758	1.043
0.522	0.491	0.478	0.494	0.490
0.536	0.714	0.911	0.423	0.420
0.677	0.693	1.178	0.476	0.552
0.531	0.484	0.645	0.431	0.469
0.779	0.701	0.799	0.691	0.722
0.251	0.356	0.733	0.054	0.071
0.181	0.095	0.353	0.042	0.100
0.398	0.371	0.361	0.375	0.371
0.787	0.759	0.774	0.753	0.753
0.313	0.464	0.799	0.182	0.308
0.401	0.376	0.876	0.224	0.301
0.726	0.832	1.066	0.601	0.598
0.975	0.988	1.926	0.700	0.941
0.654	0.546	0.703	0.517	0.549
0.727	0.740	0.938	0.610	0.649
0.476	0.481	1.388	0.169	0.374
0.142	0.045	0.138	0.033	0.063
0.251	0.230	0.223	0.232	0.230
0.270	0.241	0.237	0.244	0.241
0.386	0.378	0.373	0.380	0.378
0.552	0.603	0.765	0.484	0.500
0.593	0.564	0.563	0.566	0.565
0.776	0.690	0.869	0.677	0.691
0.549	0.605	0.709	0.448	0.457
0.505	0.453	0.465	0.453	0.456
0.777	0.758	0.751	0.761	0.758
0.691	0.548	0.992	0.505	0.613
0.244	0.038	1.276	-0.188	0.287
0.538	0.301	0.939	0.267	0.563
0.763	0.873	1.144	0.524	0.626
0.461	0.342	0.461	0.289	0.346
0.592	0.511	0.506	0.515	0.511
0.682	0.677	0.777	0.544	0.541
0.858	0.890	1.003	0.715	0.711
0.546	0.537	1.119	0.146	0.277
1.240	1.163	1.165	1.165	1.163
0.713	0.735	1.149	0.379	0.447
1.071	0.951	0.984	0.943	0.951
0.463	0.396	1.249	0.034	0.397
0.507	0.494	0.491	0.496	0.494
0.674	0.724	1.640	0.242	0.625
0.617	0.586	1.286	0.261	0.569
0.563	0.381	0.775	0.280	0.477
0.776	0.583	0.890	0.471	0.608
0.573	0.477	0.483	0.471	0.471
0.868	0.717	0.758	0.701	0.706
0.829	0.672	0.689	0.667	0.671
0.748	0.484	1.142	0.241	0.514
1.019	0.912	1.281	0.546	0.606
0.831	0.224	1.402	0.187	0.885
0.761	0.250	1.179	0.081	0.374
0.931	0.583	0.872	0.512	0.630
1.329	0.994	1.558	0.762	1.016
1.037	0.887	1.786	0.201	0.449
1.407	1.221	2.107	0.684	1.145
0.897	0.653	0.876	0.536	0.607
1.058	0.757	0.951	0.723	0.799
0.663	0.476	0.500	0.470	0.481
1.029	1.144	1.179	0.676	0.693
1.207	1.383	1.365	0.815	0.842
1.264	0.997	1.459	0.743	0.840
1.235	0.981	1.305	0.694	0.785
1.306	0.990	2.061	0.356	1.086
0.748	0.285	1.619	-0.427	0.470
0.671	0.366	0.490	0.303	0.397
0.643	0.463	0.494	0.430	0.444
0.730	0.710	0.667	0.418	0.443
0.699	0.602	0.603	0.607	0.603
0.719	0.642	0.640	0.647	0.642
1.420	0.872	2.080	0.109	1.179
1.680	1.137	1.995	0.619	1.262
1.363	1.084	1.109	1.068	1.074
1.145	1.171	1.093	0.773	0.767
2.216	1.778	2.249	1.485	1.805
1.251	0.607	1.290	0.555	1.324
1.493	1.055	1.329	0.976	1.271
1.666	1.194	1.439	1.070	1.189
2.064	1.632	2.578	0.563	1.500
2.114	2.143	2.169	1.366	1.399
2.138	1.520	2.628	0.442	1.418
2.113	1.598	2.143	1.278	1.816
1.429	1.119	1.142	1.115	1.122
2.385	2.061	2.605	1.033	1.714
2.033	0.883	2.073	0.718	2.008
1.580	0.950	1.464	0.656	1.115
2.766	1.852	2.678	1.593	2.683
1.343	0.715	0.896	0.647	1.004
1.138	0.710	0.764	0.677	0.714
1.215	1.099	0.902	0.802	0.803
1.593	1.035	1.162	0.922	1.103
2.439	1.710	2.512	0.655	1.858
1.945	1.219	1.581	0.893	1.611
2.794	2.086	2.801	0.967	2.195
3.039	2.357	2.896	1.472	2.035
2.296	1.324	2.197	-0.350	1.355
3.486	2.712	3.364	1.282	2.678
1.272	1.047	1.054	1.049	1.048
0.885	0.624	0.642	0.608	0.625
2.208	1.714	1.879	1.549	1.622
1.501	0.913	1.044	0.875	1.008
2.262	2.279	1.711	0.420	0.675
1.893	1.089	1.510	0.433	0.866
2.348	2.157	1.846	1.134	1.399
2.159	1.623	1.808	0.709	1.378
1.091	0.736	0.776	0.725	0.759
2.513	1.505	2.005	0.621	1.298
4.204	3.099	3.716	2.221	3.571
3.820	2.724	3.128	1.097	2.708
2.475	2.705	1.477	1.237	2.304
3.042	2.084	2.571	2.076	2.675
3.736	2.589	3.008	1.331	2.616
3.100	2.414	2.369	1.283	1.911
3.829	2.249	2.873	0.781	2.615
3.595	2.028	2.753	1.320	2.958
1.976	1.293	1.417	1.243	1.382
1.981	1.919	1.337	0.882	0.959
2.996	2.419	1.803	0.482	1.933
3.417	2.050	2.372	1.354	2.762
1.771	0.948	1.053	0.891	1.041
2.373	1.561	1.423	1.035	2.215
2.629	1.604	1.830	1.508	1.764
2.559	1.868	1.898	1.789	1.832
2.973	2.621	1.985	1.498	1.727
3.235	1.730	2.091	0.912	2.233
1.536	0.982	0.992	0.934	0.969
2.446	1.379	1.556	1.105	1.500
3.454	2.221	2.244	0.904	2.356
3.163	2.902	2.346	2.069	2.237
3.680	2.513	2.451	1.146	2.467
4.232	3.040	3.116	1.934	3.075
4.348	2.802	2.782	1.279	2.849
3.414	2.705	2.134	1.873	2.696
4.464	3.066	2.690	1.253	2.721
4.448	2.230	2.743	1.434	3.054
4.491	2.844	2.741	1.300	2.950
5.383	3.926	3.800	2.453	3.833
4.647	4.272	3.576	3.184	3.118
4.365	2.844	3.063	2.707	4.480
4.775	3.182	2.658	1.206	3.008
2.170	1.385	1.431	1.347	1.434
2.901	2.311	1.814	1.570	1.537
3.698	3.143	1.919	1.196	1.648
4.051	2.210	2.537	1.893	3.415
2.559	2.098	1.360	1.216	1.357
4.137	2.761	3.034	2.757	3.866
3.085	2.431	1.790	1.633	1.855
3.043	2.903	2.051	2.123	1.947
4.825	3.392	2.774	1.715	3.229
4.033	2.255	2.785	2.338	3.861
3.661	2.554	2.274	1.682	2.348
3.339	2.000	1.861	1.187	2.157
1.770	1.163	1.047	1.032	1.065
2.509	2.536	1.297	1.407	1.173
2.375	1.715	1.503	1.286	1.299
3.721	2.504	2.183	1.635	2.528
3.571	2.345	1.859	1.784	3.156
2.953	2.217	1.638	0.896	0.957
4.523	1.831	2.473	2.060	4.553
5.435	3.780	3.080	2.029	3.549
4.847	4.625	3.663	3.695	3.562
4.089	2.321	2.339	1.746	2.346
4.631	4.163	2.656	2.180	2.426
3.946	2.584	2.691	2.251	2.730
4.798	3.105	2.535	1.479	3.035
5.095	3.453	2.727	1.724	3.333
4.318	2.435	2.391	1.578	2.868
4.129	2.863	2.256	1.865	3.005
3.238	2.569	1.514	1.202	1.516
3.928	2.375	2.138	1.327	2.140
3.455	0.964	1.821	1.046	3.016
3.347	1.829	1.799	1.411	2.383
2.758	1.896	1.745	1.636	1.576
2.970	1.964	2.037	1.896	2.042
4.403	2.729	2.742	2.295	3.425
6.195	5.080	4.588	3.858	4.744
4.704	3.251	2.642	1.678	3.065
2.674	1.824	1.917	1.788	1.901
3.391	1.204	1.675	1.177	3.086
4.473	2.735	2.000	0.826	2.557
3.722	2.045	2.205	1.523	2.537
5.546	5.049	3.948	3.444	3.796
3.332	2.013	1.787	1.362	1.863
4.567	3.158	2.503	1.597	3.083
4.988	3.654	3.086	2.120	3.377
3.248	2.711	2.052	1.876	1.794
2.841	1.263	1.587	1.450	2.905
4.206	3.698	2.322	1.680	2.000
3.876	2.546	2.109	1.154	2.360
3.975	2.491	2.303	1.305	2.633
4.051	2.370	1.952	0.602	2.245
1.800	1.186	1.210	1.167	1.186
3.247	1.107	2.051	1.083	2.065
3.676	2.574	2.216	2.066	3.174
5.167	3.254	2.997	1.388	3.260
5.525	4.356	3.327	2.081	3.407
2.490	1.450	1.546	1.421	1.508
4.204	2.363	3.099	2.452	4.013
2.165	1.493	1.506	1.446	1.459
3.394	2.388	2.346	2.162	2.407
4.349	4.358	2.784	2.085	1.987
4.595	3.052	2.797	1.253	2.809
2.736	1.980	2.031	1.954	2.055
2.171	1.429	1.460	1.414	1.464
2.008	1.230	1.246	1.125	1.134
3.817	1.790	2.558	1.332	2.987
4.685	3.349	3.317	1.877	3.315
5.579	3.589	3.632	1.438	3.809
4.946	3.628	3.722	2.370	3.127
3.150	2.710	2.098	1.855	2.001
2.316	1.209	1.371	1.077	1.339
2.417	1.436	1.520	1.329	1.448
3.643	2.080	2.216	0.385	2.050
4.259	2.897	3.039	1.391	2.896
5.117	3.655	3.900	2.074	3.929
4.228	2.929	3.072	1.399	2.796
1.817	1.096	1.148	1.066	1.122
2.472	1.897	1.924	1.880	1.899
3.972	3.445	2.736	1.824	2.583
1.838	0.973	1.045	0.917	0.995
3.797	2.421	2.903	1.832	2.735
3.992	2.745	2.974	1.438	3.123
2.750	2.757	1.895	1.262	1.249
3.583	2.223	2.696	0.536	2.405
2.573	2.519	1.609	0.668	1.395
2.143	1.441	1.451	1.252	1.366
2.229	1.256	1.629	1.238	1.713
3.357	2.273	2.665	0.379	2.058
3.696	2.561	3.002	1.502	2.478
3.172	2.060	2.536	0.635	2.043
3.114	2.632	2.482	0.751	1.562
2.991	1.555	2.416	0.417	2.070
2.402	2.808	1.747	1.247	1.471
2.323	2.119	1.731	1.441	1.515
2.352	1.100	1.755	1.100	2.679
3.373	2.787	2.837	0.932	1.470
2.948	1.473	2.526	0.499	1.893
4.997	3.906	4.809	2.208	3.913
2.514	0.757	2.010	0.573	2.668
2.792	1.766	2.698	0.100	1.835
1.957	1.881	1.539	-0.016	0.445
2.805	2.332	2.512	1.274	1.911
2.404	1.603	2.395	0.195	1.502
2.112	1.347	2.203	-0.240	1.178
1.973	1.289	1.582	1.100	1.290
