ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
0.926	0.867	0.990	0.856	0.874
0.874	0.815	0.997	0.795	0.824
0.046	0.040	0.402	-0.073	0.009
0.278	0.250	0.243	0.251	0.249
0.593	0.555	0.559	0.554	0.555
1.121	1.081	1.327	1.056	1.168
0.295	0.253	0.562	0.188	0.268
0.466	0.403	0.553	0.393	0.440
0.429	0.412	0.861	0.325	0.447
0.428	0.454	0.532	0.394	0.393
0.572	0.551	0.731	0.515	0.547
0.245	0.216	0.224	0.216	0.216
0.250	0.229	0.358	0.189	0.208
0.223	0.171	0.306	0.152	0.184
0.770	0.729	0.803	0.718	0.735
0.499	0.475	0.471	0.477	0.476
0.372	0.361	0.355	0.363	0.361
0.728	0.712	0.714	0.712	0.712
0.585	0.628	0.760	0.549	0.567
0.593	0.634	0.694	0.568	0.567
0.512	0.492	0.623	0.470	0.518
0.760	0.738	0.774	0.721	0.742
0.347	0.394	0.565	0.259	0.336
0.280	0.214	0.249	0.198	0.200
0.295	0.238	1.024	0.079	0.282
0.458	0.437	1.170	0.251	0.438
0.648	0.618	0.618	0.619	0.618
1.176	1.120	1.198	1.109	1.130
0.719	0.676	0.675	0.677	0.676
0.613	0.637	1.415	0.359	0.523
1.038	0.954	0.976	0.951	0.954
0.505	0.364	0.901	0.335	0.504
0.548	0.457	0.897	0.397	0.573
0.357	0.297	0.294	0.300	0.297
0.495	0.461	0.460	0.463	0.461
0.390	0.421	0.480	0.354	0.352
0.444	0.389	0.422	0.382	0.387
0.470	0.328	1.084	0.231	0.406
0.671	0.577	0.630	0.572	0.590
0.768	0.623	1.211	0.558	0.775
0.630	0.520	0.578	0.507	0.523
1.414	1.336	1.352	1.331	1.332
0.691	0.565	0.861	0.545	0.648
0.990	1.083	1.234	0.835	0.839
0.442	0.355	0.370	0.355	0.359
1.080	0.992	1.447	0.872	1.096
1.096	1.091	2.060	0.665	1.067
0.925	0.871	0.870	0.873	0.872
0.975	0.993	1.418	0.683	0.778
0.851	0.771	0.773	0.773	0.772
0.720	0.652	1.453	0.294	0.641
0.932	0.857	1.454	0.598	0.851
0.954	0.867	1.529	0.503	0.694
0.470	0.374	0.390	0.374	0.375
0.314	0.205	0.231	0.201	0.210
0.979	1.010	1.050	0.839	0.836
0.423	0.442	0.505	0.211	0.207
0.414	0.287	0.334	0.280	0.291
0.550	0.604	0.614	0.373	0.377
0.981	0.934	0.979	0.822	0.817
1.093	1.163	1.332	0.761	0.956
0.998	0.623	1.337	0.622	1.050
1.272	0.875	1.740	0.740	1.160
0.805	0.741	1.053	0.302	0.524
1.139	1.091	1.318	0.767	0.948
1.343	1.220	1.755	0.837	1.053
0.857	0.657	0.802	0.632	0.718
0.816	0.660	1.442	0.234	0.699
1.106	0.861	1.096	0.804	0.928
0.630	0.830	0.863	0.200	0.194
0.628	0.279	1.375	-0.198	0.554
0.665	0.526	0.541	0.530	0.534
1.115	0.964	1.632	0.450	0.995
1.285	1.079	1.851	0.613	1.170
1.293	0.947	1.498	0.858	1.283
0.724	0.810	0.767	0.536	0.532
1.265	0.986	1.127	0.925	0.982
1.061	0.429	1.411	0.343	0.975
0.589	0.407	0.579	0.328	0.343
1.052	0.906	1.519	0.329	0.847
0.888	0.636	0.783	0.599	0.692
1.195	0.945	1.077	0.863	0.920
0.979	0.722	0.821	0.665	0.703
1.773	1.572	2.225	0.844	1.447
1.214	0.974	1.041	0.942	0.994
1.605	0.959	1.793	0.762	1.509
1.781	1.365	1.886	1.232	1.664
1.822	1.648	1.912	1.076	1.519
1.870	1.704	2.003	1.122	1.346
2.013	1.381	2.265	0.923	1.797
2.126	1.802	2.484	0.960	1.768
2.007	1.758	2.203	1.139	1.627
1.564	1.201	1.684	0.505	1.145
1.351	0.778	1.193	0.359	0.851
1.108	0.681	0.851	0.595	0.801
1.259	0.643	1.234	0.268	1.052
1.599	1.152	1.416	1.051	1.303
1.421	0.884	1.260	0.796	1.586
2.187	1.791	2.344	0.886	1.752
1.874	1.557	1.584	1.418	1.434
1.361	0.574	1.185	0.259	1.287
1.816	1.279	1.689	0.818	1.508
2.730	2.127	2.794	0.584	2.047
2.302	2.098	2.183	1.384	1.936
2.667	2.261	2.404	2.204	2.378
1.397	1.316	1.156	0.921	0.906
2.405	1.077	2.256	0.148	1.779
1.430	0.974	0.933	0.778	0.820
1.834	1.206	1.364	0.841	1.218
2.839	2.419	2.517	1.042	2.005
1.823	1.268	1.484	0.936	1.297
2.453	1.817	2.235	0.676	1.798
3.123	2.668	2.903	1.798	2.624
2.385	1.417	2.061	1.093	2.006
2.546	1.852	2.219	1.110	1.850
2.839	2.231	2.470	1.991	2.306
1.878	1.338	1.511	1.206	1.399
2.132	1.238	1.832	1.133	1.507
2.190	1.490	1.709	1.089	1.371
2.741	2.007	2.273	1.363	2.018
3.074	2.232	2.506	0.896	2.218
2.604	2.408	1.781	1.111	1.522
2.958	1.726	2.023	0.547	2.290
2.866	1.269	2.140	0.999	2.564
1.596	2.252	0.929	0.672	0.772
1.820	0.839	1.310	0.602	1.133
3.299	2.313	2.565	2.139	2.504
2.806	2.072	2.156	1.933	2.023
2.920	1.904	2.218	1.621	2.089
2.604	1.504	1.965	1.325	2.159
1.194	0.899	0.907	0.893	0.893
2.021	1.351	1.358	1.044	1.120
3.243	1.969	2.504	1.752	2.981
3.045	2.260	2.369	1.409	2.319
3.627	2.881	2.833	2.298	3.236
2.509	2.187	1.794	1.470	2.033
1.434	1.058	1.063	1.025	1.030
1.987	2.278	1.265	1.143	1.023
2.654	1.926	1.929	1.596	1.807
2.748	1.633	1.718	1.066	1.923
2.955	2.000	1.887	0.808	2.041
3.483	2.773	2.769	2.146	2.808
3.765	3.055	3.059	2.466	3.110
3.257	3.040	2.684	2.477	2.436
3.997	2.707	2.332	1.017	2.725
3.416	2.328	2.094	1.049	2.434
4.199	3.120	2.983	2.168	3.246
3.661	2.076	2.268	1.085	2.625
3.839	2.570	2.518	1.760	2.714
3.933	2.701	2.604	1.949	2.440
5.490	4.284	4.306	3.421	4.345
5.508	4.142	3.850	2.593	4.114
5.173	3.650	3.348	2.079	3.779
4.692	3.513	3.226	2.240	3.562
5.472	4.309	4.000	3.048	4.372
4.614	3.288	3.465	2.635	3.670
4.500	3.041	2.655	1.488	3.086
1.688	1.274	1.289	1.271	1.278
4.923	3.256	2.570	1.208	3.132
1.507	1.065	1.076	1.054	1.057
2.294	1.675	1.798	1.675	1.803
4.394	3.108	2.731	1.639	2.932
2.400	1.518	1.516	1.411	1.502
3.678	2.381	1.978	1.176	2.291
3.021	1.365	1.962	1.601	3.195
1.582	1.359	1.367	1.360	1.359
2.618	1.727	1.821	1.651	1.812
3.278	3.110	1.991	1.709	1.543
3.008	3.087	2.263	2.207	2.077
3.716	2.721	2.425	1.634	2.556
3.477	2.774	2.228	1.478	1.813
4.079	2.921	2.470	1.538	2.686
3.689	3.236	2.308	2.107	2.604
4.001	2.311	1.891	0.565	2.203
3.578	2.570	2.144	1.290	1.625
2.788	2.005	1.653	1.584	1.724
1.447	0.964	0.985	0.957	0.967
2.154	1.437	1.431	1.372	1.418
3.786	2.562	2.682	1.890	2.546
4.545	4.163	3.295	2.704	2.783
4.773	3.891	3.701	3.317	4.214
4.459	3.796	3.280	3.350	4.187
5.038	3.112	3.701	3.227	4.904
