ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
2.282	1.980	2.311	1.953	2.040
1.539	1.292	2.460	0.931	1.286
1.064	0.741	2.052	0.354	0.818
1.044	0.877	1.139	0.766	0.907
1.645	1.512	2.283	1.171	1.396
1.812	1.604	1.908	1.594	1.749
1.082	0.865	1.132	0.757	0.856
1.081	0.821	2.107	0.432	0.893
1.420	1.375	1.869	1.050	1.128
1.200	1.054	1.597	0.896	1.145
1.578	1.499	1.517	1.488	1.498
0.638	0.583	0.587	0.582	0.584
0.753	0.696	0.699	0.696	0.696
0.956	0.781	0.842	0.762	0.775
1.313	1.084	1.559	1.070	1.395
1.890	1.674	2.697	1.334	1.721
1.380	1.160	1.490	1.130	1.310
2.069	2.019	2.521	1.649	1.853
1.703	1.626	1.630	1.627	1.627
1.733	1.753	1.830	1.584	1.582
2.331	2.234	2.252	2.229	2.237
3.029	2.817	3.152	2.722	2.763
1.707	1.516	2.223	1.125	1.305
0.602	0.419	0.439	0.419	0.423
0.624	0.484	0.489	0.485	0.483
1.648	1.217	2.060	1.032	1.558
2.968	2.794	3.569	2.453	2.751
2.975	2.858	3.346	2.619	2.848
3.088	2.932	3.644	2.549	2.782
1.909	1.851	2.270	1.420	1.603
2.673	2.570	2.917	2.159	2.193
2.082	1.708	2.198	1.643	1.786
2.521	2.183	2.704	2.027	2.242
1.235	1.001	1.877	0.374	0.780
0.529	0.423	0.425	0.425	0.424
1.095	0.985	0.992	0.987	0.989
1.029	0.969	1.032	0.799	0.797
1.497	1.500	1.566	1.090	1.135
1.202	0.821	1.280	0.683	0.844
1.617	1.334	1.870	1.144	1.378
1.536	1.108	1.818	0.894	1.225
2.640	2.413	3.062	2.044	2.367
1.269	1.291	1.425	0.946	0.958
1.804	1.714	1.717	1.715	1.713
0.588	0.518	0.521	0.520	0.519
0.900	0.874	0.877	0.871	0.873
2.840	2.637	3.066	2.497	2.793
2.656	2.411	2.674	2.376	2.538
1.959	1.852	2.026	1.648	1.798
3.030	2.709	3.546	2.213	2.750
2.015	1.601	1.872	1.532	1.634
2.516	2.149	2.437	2.111	2.196
3.087	2.366	3.539	1.930	2.590
1.847	1.472	2.116	1.098	1.528
1.840	1.293	1.910	1.286	1.849
1.771	1.738	1.810	1.269	1.535
1.145	1.045	1.224	0.372	0.427
1.497	1.092	1.216	1.065	1.146
2.251	2.146	2.133	1.798	1.855
1.821	1.600	1.726	1.276	1.356
2.461	1.992	2.680	1.560	2.028
2.311	1.864	2.549	1.454	2.029
1.777	1.382	1.714	1.371	1.507
1.117	0.700	0.933	0.639	0.913
1.856	1.475	1.654	1.420	1.484
2.517	2.059	2.725	1.580	2.089
1.801	1.337	2.008	0.853	1.429
2.468	2.019	2.654	1.555	2.124
2.114	1.740	2.230	1.233	1.713
0.864	0.565	0.579	0.550	0.556
1.080	0.571	0.669	0.518	0.578
2.036	1.987	1.931	0.998	1.151
1.643	1.249	1.373	1.163	1.303
3.110	2.627	3.069	2.188	2.536
3.229	2.963	3.028	2.764	2.797
3.633	3.043	3.669	1.780	2.610
2.668	1.974	2.558	1.101	1.816
3.033	2.167	3.056	0.945	2.063
2.752	2.207	2.704	1.279	2.009
2.972	2.447	2.936	1.663	2.368
2.500	1.989	2.330	1.902	2.035
3.203	2.440	2.989	2.418	3.084
2.666	2.118	2.307	1.770	2.015
1.516	1.334	1.340	1.337	1.336
2.672	2.267	2.407	2.127	2.269
4.022	3.337	3.623	3.082	3.342
2.637	2.403	2.433	2.382	2.403
1.361	1.288	1.289	1.292	1.288
2.380	2.237	2.241	2.238	2.236
4.244	3.458	3.831	2.891	3.500
3.416	2.687	3.063	1.809	2.695
3.957	3.370	3.642	2.681	3.435
2.157	1.503	1.738	0.725	1.291
2.662	1.335	1.954	0.397	1.543
3.856	2.517	3.100	1.240	2.808
3.548	2.305	2.777	1.060	2.358
4.461	3.099	3.882	3.035	3.852
3.220	2.606	2.720	2.548	2.651
3.742	3.256	3.156	2.473	2.811
3.873	3.346	3.217	2.864	3.267
4.449	3.132	3.434	1.731	3.172
3.466	2.992	2.779	2.229	2.717
3.885	2.767	3.005	1.688	2.835
1.455	1.243	1.253	1.240	1.246
1.284	1.190	1.192	1.192	1.190
2.842	2.144	2.290	2.051	2.312
3.355	1.700	2.228	0.901	2.139
2.052	1.769	1.256	0.803	0.827
2.974	1.934	1.983	0.898	1.897
3.412	2.303	2.303	1.080	2.215
3.311	2.591	2.652	2.143	2.436
3.443	2.206	2.565	1.834	2.772
3.249	2.538	2.661	2.372	3.004
3.176	2.197	2.384	1.672	2.357
3.483	2.710	2.717	2.363	2.618
2.416	1.926	1.968	1.885	2.313
3.892	3.299	3.125	2.651	2.967
2.456	1.729	1.915	1.733	2.275
2.487	1.660	1.796	1.486	1.941
2.228	1.320	1.441	0.982	1.563
2.499	1.677	1.832	1.463	1.582
2.365	1.817	1.832	1.792	1.837
3.574	1.327	1.868	1.066	2.838
