ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
1.138	0.899	0.947	0.900	0.918
1.073	0.616	1.405	0.462	0.671
1.182	0.794	3.182	-0.131	0.840
0.853	0.541	2.449	-0.217	0.569
1.105	0.766	1.792	0.407	0.902
1.369	1.278	1.473	1.058	1.053
0.815	0.463	2.473	-0.339	0.458
0.772	0.477	0.790	0.351	0.465
0.962	0.940	1.204	0.571	0.569
0.758	0.523	0.702	0.454	0.519
1.433	1.125	2.751	0.473	1.122
0.610	0.416	1.596	-0.211	0.208
0.935	0.584	2.136	0.012	0.658
0.764	0.429	1.573	-0.034	0.742
1.239	1.058	1.780	0.683	1.075
1.092	0.646	2.672	-0.126	0.778
1.007	1.000	1.569	0.316	0.506
1.601	1.208	3.004	0.479	1.268
2.229	1.845	3.464	1.221	1.953
1.436	1.024	2.669	0.379	1.073
1.729	1.428	2.647	0.907	1.421
0.850	0.504	0.666	0.487	0.537
1.019	0.397	2.872	-0.609	0.549
0.928	0.327	2.680	-0.644	0.462
1.072	0.461	2.784	-0.503	0.591
1.712	1.177	3.104	0.389	1.295
1.168	0.806	1.365	0.777	1.291
1.588	1.245	2.190	0.798	1.503
1.373	0.668	2.414	0.203	1.061
0.920	0.790	0.954	0.533	0.528
1.386	1.207	1.481	0.805	0.832
1.671	1.147	2.836	0.397	1.271
1.840	1.381	2.565	0.864	1.480
1.219	0.442	2.415	-0.281	0.661
1.369	0.839	2.337	0.138	0.824
1.617	0.870	2.099	0.719	1.405
1.330	0.690	2.312	0.025	0.859
1.523	0.688	2.410	0.186	1.112
1.489	1.207	2.052	0.415	0.748
1.835	1.179	2.363	0.841	1.545
1.498	0.983	2.273	0.209	0.870
2.749	2.333	3.509	1.603	2.240
2.124	1.631	3.046	0.741	1.579
2.453	2.035	3.223	1.210	1.895
0.893	0.893	0.943	0.278	0.389
1.198	1.180	1.309	0.773	0.885
1.551	1.905	1.838	0.804	0.805
2.490	1.988	3.266	1.095	1.952
2.062	1.479	2.945	0.402	1.396
2.026	1.356	2.967	0.192	1.306
1.239	1.149	1.179	0.569	0.731
