ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
0.828	0.531	0.709	0.520	0.601
0.628	0.204	0.844	0.159	0.337
0.439	0.088	0.419	0.054	0.185
0.515	0.325	0.352	0.309	0.310
0.482	0.151	0.737	-0.012	0.186
0.627	0.497	0.494	0.500	0.496
0.459	0.255	0.282	0.249	0.252
0.343	0.142	1.063	-0.325	-0.036
0.513	0.263	0.756	0.065	0.258
0.582	0.714	1.005	0.224	0.219
0.810	0.556	0.751	0.528	0.622
0.629	0.496	0.508	0.496	0.496
0.452	0.288	0.919	0.049	0.505
0.490	0.269	1.415	-0.207	0.273
0.526	0.331	1.606	-0.216	0.171
0.823	0.445	2.345	-0.160	0.544
0.703	0.217	1.246	0.214	0.980
0.969	0.542	1.339	0.451	0.869
1.906	1.749	2.898	1.155	1.518
1.339	1.407	2.066	0.716	0.970
1.587	1.217	2.076	1.032	1.320
1.967	1.752	1.939	1.646	1.733
1.318	1.014	3.014	0.151	0.982
0.564	0.244	2.397	-0.721	0.174
0.530	-0.151	1.215	-0.228	0.371
0.542	0.417	0.409	0.425	0.419
0.970	0.999	1.363	0.365	0.502
1.675	1.361	2.907	0.712	1.337
1.353	1.387	1.881	0.704	0.898
1.259	1.044	2.460	0.240	0.773
1.435	1.023	2.585	0.377	0.986
1.373	0.953	1.346	0.861	1.016
1.009	0.799	0.816	0.755	0.768
0.919	0.353	1.421	0.061	0.514
0.869	0.246	1.357	0.241	0.800
1.559	1.194	2.441	0.619	1.115
1.141	0.794	1.798	0.279	0.675
1.023	1.148	1.265	0.553	0.547
1.104	1.210	1.282	0.744	0.739
1.170	0.845	1.326	0.588	0.967
1.093	0.878	0.924	0.761	0.773
1.622	1.343	1.403	1.328	1.347
1.610	1.120	1.969	0.779	1.167
2.080	1.489	2.669	1.077	1.683
1.256	1.218	1.459	0.641	0.816
1.066	0.895	0.913	0.887	0.890
1.580	1.189	1.680	0.811	0.992
2.309	2.224	2.733	1.378	1.634
1.514	0.619	2.249	0.173	1.109
1.723	1.026	2.797	0.100	1.097
2.137	1.445	3.253	0.373	1.382
2.129	1.580	2.954	0.644	1.342
1.771	1.200	1.698	0.993	1.214
1.556	0.656	1.700	0.613	1.169
1.618	1.018	1.384	0.943	1.151
1.447	1.262	1.494	0.524	0.694
1.702	1.188	2.243	0.229	0.781
1.941	1.436	2.415	0.509	1.146
1.954	0.811	2.188	0.669	1.806
2.037	1.293	2.718	0.300	1.311
2.285	1.369	2.464	1.097	1.816
1.879	1.167	1.994	0.732	1.494
1.917	1.004	2.560	0.031	1.204
1.577	1.303	1.392	0.743	0.877
2.519	1.920	2.784	1.137	1.752
2.428	1.729	2.658	1.147	2.006
1.886	1.405	2.210	0.527	1.281
2.026	1.409	2.329	0.537	1.371
2.423	1.724	2.898	0.399	1.638
1.182	0.576	0.673	0.472	0.542
2.134	1.339	2.540	0.023	1.315
2.428	1.932	2.562	0.839	1.622
2.483	1.745	2.555	0.830	1.679
2.954	2.126	3.223	0.776	2.003
2.675	1.711	2.567	1.114	2.113
2.263	1.082	1.918	0.881	1.246
2.820	1.926	2.974	0.321	1.647
