ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
1.719	1.457	1.482	1.446	1.447
2.022	1.537	2.165	1.298	1.636
2.125	1.479	3.077	0.814	1.529
2.276	1.823	3.173	1.132	1.959
2.762	2.399	3.238	1.866	2.229
3.793	3.280	4.802	2.629	3.317
1.913	1.198	3.200	0.345	1.212
2.063	1.498	2.385	1.223	1.686
2.590	2.238	3.022	1.867	2.467
3.462	2.940	4.379	2.359	3.057
3.469	3.016	3.716	2.838	3.224
2.318	1.861	3.102	1.327	1.930
2.022	1.282	2.353	1.242	1.923
1.890	1.102	3.196	0.209	1.227
2.664	2.282	3.211	1.825	2.238
3.129	2.581	3.826	2.102	2.772
2.910	2.236	3.755	1.701	2.447
2.307	1.761	2.474	1.642	2.122
4.671	4.233	4.987	3.917	4.293
3.218	2.796	3.245	2.572	2.765
3.876	3.435	4.053	3.200	3.494
4.640	3.896	5.521	3.251	4.076
2.470	1.815	3.725	0.675	1.756
1.750	0.981	3.185	-0.352	0.905
1.863	1.143	2.254	0.668	1.257
3.180	2.558	4.046	1.735	2.569
2.161	1.829	2.113	1.775	2.001
2.804	2.397	2.842	2.362	2.775
3.424	3.042	3.827	2.421	2.878
2.127	1.891	2.087	1.482	1.542
2.916	2.491	3.045	2.002	2.392
3.129	2.607	3.556	1.926	2.539
1.976	1.551	1.699	1.435	1.503
1.991	1.280	2.510	0.415	1.224
2.796	2.143	3.283	1.450	2.128
3.571	2.684	4.055	2.207	3.054
2.787	2.103	3.137	1.534	2.166
2.087	1.557	2.100	1.127	1.734
1.251	1.213	1.203	0.694	0.690
2.058	1.573	2.002	1.391	1.653
2.505	1.563	2.882	0.953	1.879
3.683	3.118	3.961	2.520	3.092
3.699	3.110	3.872	2.622	3.157
4.035	3.245	4.064	3.106	3.702
1.506	1.208	1.260	1.045	1.064
3.849	3.526	4.058	3.017	3.453
4.934	4.268	5.310	3.410	4.238
4.706	4.099	4.842	3.589	4.062
4.091	3.693	4.226	2.904	3.405
3.822	3.040	4.020	2.180	2.995
3.449	2.554	3.787	1.448	2.482
4.203	3.311	4.215	2.708	3.424
3.932	3.178	3.904	2.152	2.858
3.199	2.543	2.819	2.417	2.577
2.936	2.143	2.545	1.955	2.229
3.572	3.004	3.394	2.186	2.455
