ET0_hor	ET0_west	ET0_south	ET0_north	ET0_east
0.932	0.876	0.872	0.879	0.876
0.879	0.834	1.026	0.717	0.721
0.262	0.029	0.888	-0.020	0.266
0.505	0.400	0.778	0.333	0.493
0.506	0.462	0.461	0.464	0.463
0.914	1.005	1.471	0.735	0.834
0.428	0.647	0.804	0.298	0.294
0.321	0.411	0.482	0.251	0.248
0.679	0.524	1.137	0.502	0.794
0.257	0.291	0.702	0.106	0.225
0.712	0.710	1.321	0.507	0.694
0.234	0.188	0.204	0.189	0.195
0.366	0.333	0.334	0.333	0.331
0.478	0.397	0.675	0.308	0.389
0.732	0.686	0.731	0.666	0.667
0.681	0.658	0.652	0.661	0.658
0.827	1.000	1.400	0.585	0.604
0.940	0.789	1.155	0.734	0.868
1.834	1.734	1.969	1.659	1.717
1.234	1.118	1.435	1.051	1.251
1.341	1.251	1.269	1.247	1.250
0.895	0.825	0.827	0.827	0.827
0.519	0.448	0.447	0.448	0.446
0.353	0.321	0.846	0.026	0.192
0.507	0.348	0.497	0.304	0.329
0.911	0.779	0.883	0.727	0.749
0.963	0.865	1.007	0.832	0.876
1.460	1.354	1.445	1.335	1.355
1.103	0.966	1.026	0.950	0.964
1.054	0.850	1.231	0.782	0.903
1.299	1.054	1.547	0.981	1.152
1.100	0.842	1.359	0.800	1.033
1.019	0.811	1.391	0.703	0.961
0.622	0.482	1.665	-0.060	0.322
0.704	0.569	0.604	0.568	0.579
0.830	0.816	1.238	0.494	0.620
1.132	0.930	1.497	0.704	0.842
0.921	0.758	1.704	0.329	0.660
0.620	0.675	0.761	0.462	0.459
0.793	0.691	1.340	0.421	0.662
0.896	0.790	1.745	0.323	0.683
1.611	1.423	2.097	1.197	1.457
0.634	0.628	0.843	0.395	0.501
0.894	0.857	0.853	0.860	0.857
0.508	0.443	0.443	0.446	0.444
0.812	0.760	0.768	0.758	0.759
1.030	1.174	1.225	0.878	0.878
1.108	1.001	1.337	0.859	1.121
1.187	1.258	1.330	0.927	0.951
1.279	1.422	1.444	1.014	1.010
1.135	0.932	0.964	0.918	0.928
2.284	2.001	3.195	1.421	2.046
1.812	1.491	2.900	0.750	1.499
1.170	1.024	1.792	0.521	0.953
1.637	1.356	2.436	0.806	1.416
0.861	0.940	0.965	0.559	0.557
0.876	0.572	0.830	0.413	0.456
0.696	0.727	0.792	0.347	0.344
1.713	1.270	1.796	1.192	1.570
1.511	1.027	1.689	0.753	1.023
2.968	2.551	3.748	1.843	2.643
2.526	2.275	3.135	1.584	2.138
1.947	1.619	2.649	0.954	1.649
1.574	1.277	1.589	0.826	0.968
1.971	1.840	2.013	1.487	1.618
1.643	1.462	1.968	0.997	1.338
1.911	1.553	2.544	0.843	1.578
2.466	1.987	3.001	1.424	2.148
3.067	2.621	3.018	2.299	2.573
1.390	0.401	1.580	0.282	1.140
1.640	0.977	2.195	0.169	1.093
1.208	0.867	0.944	0.835	0.876
1.900	1.646	1.683	1.568	1.571
2.579	1.912	2.634	1.792	2.549
2.107	1.853	1.945	1.724	1.739
1.405	1.048	1.446	0.634	1.170
1.202	1.099	1.099	1.106	1.101
0.651	0.583	0.582	0.588	0.584
2.077	1.659	2.128	1.235	1.779
1.224	0.932	1.023	0.903	0.949
1.827	1.423	1.673	1.366	1.478
1.224	1.045	1.136	0.771	0.868
1.387	1.003	1.219	0.990	1.202
1.909	1.584	1.810	1.251	1.693
1.698	1.265	1.621	1.249	1.736
1.867	1.733	1.638	1.255	1.615
2.814	2.469	2.856	1.973	2.569
2.946	2.439	3.012	1.685	2.448
2.592	2.425	2.333	2.045	2.125
2.077	1.514	1.825	1.204	1.558
3.901	3.233	3.894	2.184	3.226
2.712	2.239	2.613	1.602	2.242
3.073	2.180	2.992	0.641	2.214
1.859	0.952	1.424	0.526	1.117
1.410	0.836	1.043	0.656	0.872
2.504	1.679	2.021	1.314	1.706
2.766	2.097	2.586	1.240	2.123
2.903	1.869	2.633	1.792	2.563
3.521	2.940	3.260	1.824	2.727
2.048	1.565	1.621	1.519	1.571
2.367	1.502	1.704	1.091	1.448
2.970	2.272	2.453	2.114	2.340
2.656	1.826	2.082	1.467	1.870
3.980	3.200	3.647	2.479	3.358
4.914	4.205	4.499	3.521	4.261
1.999	1.413	1.492	1.383	1.434
2.745	1.595	2.027	-0.049	1.496
1.657	1.087	1.041	0.894	0.975
1.927	1.617	1.359	0.902	1.039
2.562	2.379	1.924	1.334	1.663
2.684	2.073	2.176	1.159	1.877
3.048	2.097	2.371	0.982	2.179
3.295	2.850	2.808	2.676	2.791
2.759	1.852	2.105	1.478	2.125
4.856	3.374	3.605	1.546	3.483
3.614	2.903	3.023	2.825	2.970
3.851	2.515	3.182	2.301	3.063
4.435	3.356	3.424	2.212	3.387
3.822	2.625	2.754	1.971	2.598
3.876	3.036	2.997	2.776	3.109
2.734	3.001	1.874	1.540	1.921
3.069	1.958	2.286	1.894	2.498
2.601	1.453	1.594	1.214	1.424
3.621	2.354	2.473	1.745	2.878
3.564	1.589	2.074	0.594	2.131
3.923	2.594	2.679	1.899	2.789
4.879	3.886	3.625	2.849	3.376
4.306	3.188	3.016	1.860	2.981
5.715	4.349	4.050	2.617	4.180
4.469	3.064	2.900	1.537	3.013
3.899	2.733	2.562	1.462	2.667
4.573	3.127	2.983	2.035	3.094
4.851	3.479	3.741	3.365	4.395
4.615	4.667	3.620	3.460	3.408
3.604	2.878	2.901	2.755	2.907
3.767	3.422	2.921	2.500	2.568
4.823	3.414	3.377	2.385	3.600
4.336	2.951	2.683	1.619	3.004
3.025	2.294	2.205	1.856	1.943
1.056	0.851	0.859	0.857	0.852
1.877	1.481	1.389	1.370	1.356
3.464	3.055	2.604	2.580	3.119
5.497	3.984	4.413	3.948	5.236
3.964	2.956	2.961	2.517	3.469
3.346	1.934	1.848	1.132	2.287
4.271	2.779	2.256	1.303	2.771
5.270	3.781	3.226	2.269	3.727
3.992	2.486	2.073	1.175	2.495
3.941	2.736	2.259	1.596	2.425
4.185	2.685	2.163	1.193	2.462
3.594	2.783	2.450	2.070	2.771
5.411	4.503	4.013	3.537	3.997
5.599	3.913	3.230	2.213	3.707
5.482	4.045	3.467	2.633	3.934
5.164	3.544	3.878	3.547	4.892
4.627	4.143	3.273	3.038	3.337
2.484	1.769	1.811	1.744	1.807
4.325	3.040	2.638	2.180	2.892
4.710	2.704	1.881	0.853	2.634
4.872	2.976	2.259	1.298	2.922
5.534	4.005	3.475	2.706	4.024
5.059	4.075	3.029	2.514	3.156
4.863	3.133	2.588	1.676	2.547
4.106	1.339	1.990	1.582	4.129
4.404	2.116	2.627	2.333	4.296
4.122	2.800	3.027	2.994	4.126
1.802	1.425	1.436	1.423	1.421
4.642	2.409	2.721	1.900	2.826
5.535	4.728	3.970	3.720	4.244
3.999	3.060	3.105	3.023	3.224
3.646	3.055	2.737	2.710	2.683
4.614	3.223	2.632	2.108	3.105
3.088	2.291	2.327	2.268	2.337
4.088	2.377	1.563	1.340	3.066
2.656	1.716	1.736	1.662	1.731
5.251	3.610	2.760	1.973	3.003
5.748	3.676	2.906	1.856	3.391
5.459	3.870	2.728	1.831	2.895
6.840	5.196	4.520	3.717	4.981
6.281	5.411	4.404	4.057	4.370
6.892	5.103	5.526	5.146	6.505
4.913	3.273	3.672	3.358	4.884
8.509	6.533	6.042	5.094	6.690
7.229	5.376	4.462	3.417	4.896
4.837	2.427	2.367	1.529	2.992
6.729	4.879	4.005	2.999	4.569
2.377	2.012	2.020	2.008	2.011
3.906	3.355	2.718	2.593	2.508
4.495	2.126	2.652	2.232	4.213
6.724	5.448	4.720	4.083	4.973
5.494	3.041	3.400	2.857	5.040
3.039	2.109	2.125	2.038	2.104
5.633	3.579	2.887	1.735	3.572
4.619	3.779	2.759	2.170	2.762
3.959	2.852	2.364	1.684	2.424
3.087	2.829	1.601	1.417	1.401
5.367	3.803	3.147	2.095	3.541
4.839	2.811	2.266	0.977	2.844
4.878	3.270	2.818	1.821	3.338
4.713	3.581	2.811	1.952	2.745
5.516	3.982	3.606	2.619	3.959
4.620	2.446	2.543	1.634	3.300
2.715	2.329	2.340	2.328	2.333
5.038	4.127	3.424	2.598	3.421
4.648	2.804	3.453	2.806	3.957
5.099	4.737	3.736	3.247	3.400
3.535	2.300	2.169	1.866	2.836
5.689	4.477	4.364	3.692	4.449
3.426	2.653	2.671	2.598	2.653
3.520	2.248	2.166	1.900	2.856
4.141	3.320	3.086	2.532	2.671
6.007	4.232	4.115	2.790	4.575
6.568	4.790	4.402	2.764	4.702
3.764	3.097	3.114	3.037	3.048
5.062	3.127	3.550	2.794	4.630
4.474	2.722	2.914	1.933	2.975
3.602	2.871	2.394	1.672	1.704
4.372	2.537	2.456	0.849	2.720
4.141	2.908	2.896	2.237	2.829
5.241	4.132	4.208	3.669	4.245
4.129	4.285	3.289	3.125	3.114
2.279	1.207	1.505	1.233	2.441
4.777	4.354	3.737	3.041	3.523
5.464	3.588	4.373	3.481	5.118
3.895	1.780	2.558	1.054	2.872
5.047	3.612	4.133	3.057	3.576
3.675	2.884	2.719	2.180	2.679
3.663	2.919	2.914	2.350	2.435
3.737	2.665	2.726	1.526	2.651
3.930	2.298	2.553	0.402	2.436
4.190	3.330	3.153	1.728	2.837
4.448	3.162	3.444	1.914	3.407
4.211	3.971	3.239	2.148	2.472
2.471	1.594	1.799	1.439	1.535
4.137	2.939	3.283	1.483	2.845
3.359	2.266	2.581	0.879	2.065
3.107	1.929	2.269	0.465	1.741
2.752	1.754	2.027	1.665	1.889
6.612	5.458	5.901	3.923	5.252
4.695	3.151	4.033	2.524	3.122
4.011	2.938	3.306	1.189	2.565
4.681	3.141	3.863	1.016	3.123
5.424	4.480	4.905	3.204	4.335
3.320	3.094	2.526	1.642	2.122
4.033	3.514	3.372	1.949	2.381
2.469	2.147	1.562	0.428	1.173
3.171	1.622	2.781	1.560	2.287
3.296	2.841	2.836	1.934	2.023
1.550	0.974	0.985	0.870	0.912
2.838	2.315	2.454	1.721	1.949
3.949	3.195	3.757	2.394	3.300
2.032	1.226	1.623	1.202	1.606
2.931	2.168	2.846	0.787	2.096
3.647	3.016	3.605	1.797	2.866
3.256	2.476	3.250	1.176	2.544
2.513	2.219	2.182	1.239	1.569
3.033	2.803	2.821	1.941	2.474
2.236	1.789	1.901	1.550	1.721
2.338	1.824	2.343	1.125	1.897
1.149	1.372	1.031	0.638	0.632
0.746	0.541	0.545	0.547	0.542
1.843	0.952	1.819	0.960	2.426
2.268	1.489	2.601	0.254	1.461
2.701	1.458	2.751	1.118	2.626
3.161	2.298	3.646	0.925	2.439
2.861	2.505	2.834	1.783	2.257
3.906	3.179	3.781	3.093	3.530
2.050	1.095	2.050	0.749	1.704
3.432	2.863	3.718	2.178	2.856
1.369	1.202	1.202	1.208	1.202
2.861	2.078	3.643	0.669	2.162
1.531	1.423	1.332	0.758	0.883
2.746	2.022	2.479	1.899	2.305
1.112	0.878	0.887	0.880	0.879
1.626	1.375	1.407	1.350	1.401
1.585	1.761	1.616	1.045	1.044
2.556	2.181	2.951	1.614	2.151
1.514	1.004	1.403	0.738	0.950
2.986	2.474	3.885	1.408	2.410
3.534	3.045	4.584	1.774	2.876
2.033	1.685	1.881	1.581	1.691
2.630	2.735	2.983	1.551	1.711
0.999	0.794	0.807	0.787	0.791
1.811	1.548	2.593	0.593	1.379
0.939	0.723	0.728	0.727	0.723
0.884	1.425	1.184	0.289	0.282
0.974	1.288	1.028	0.389	0.413
1.276	0.769	1.323	0.733	0.994
1.480	1.040	1.375	1.025	1.200
1.975	1.654	1.915	1.465	1.597
1.484	1.048	1.355	1.016	1.171
1.780	2.046	2.154	1.176	1.471
1.234	0.821	1.160	0.682	0.864
0.862	0.670	0.698	0.661	0.667
2.418	2.354	2.849	1.886	2.098
1.346	1.017	2.413	0.357	1.024
0.941	1.080	1.081	0.719	0.715
0.684	0.868	0.877	0.430	0.426
0.763	0.894	0.912	0.490	0.488
0.621	0.952	0.959	0.269	0.263
0.800	0.521	1.717	-0.069	0.353
0.628	0.414	1.384	-0.115	0.350
0.930	0.654	1.135	0.507	0.696
0.890	0.686	1.840	0.211	0.740
0.756	0.685	0.685	0.687	0.685
0.476	0.483	0.689	0.202	0.259
1.436	1.651	1.680	1.228	1.225
0.889	0.720	0.946	0.685	0.807
0.827	0.739	0.746	0.737	0.736
1.266	1.079	1.223	1.016	1.049
0.629	0.399	0.501	0.363	0.394
0.936	0.560	1.343	0.509	1.060
1.137	1.008	1.018	1.004	1.001
0.853	0.695	0.709	0.694	0.695
1.688	1.655	1.816	1.476	1.577
0.768	0.952	0.996	0.604	0.601
1.343	1.220	1.230	1.220	1.222
1.167	0.928	2.344	0.482	1.027
1.120	1.155	1.720	0.649	0.816
1.136	1.098	1.617	0.738	0.852
0.747	0.490	0.988	0.466	0.747
0.249	0.204	0.200	0.206	0.204
0.614	0.562	0.560	0.565	0.562
0.800	0.761	0.755	0.765	0.761
0.568	0.483	0.481	0.487	0.485
0.655	0.568	0.568	0.572	0.570
1.365	1.191	1.612	1.132	1.242
1.148	1.105	2.347	0.649	1.031
0.815	0.783	2.065	0.307	0.709
0.392	0.708	0.850	0.144	0.141
0.450	0.332	0.346	0.332	0.333
1.047	1.063	1.245	0.885	0.898
0.619	0.524	0.619	0.484	0.492
0.650	0.518	0.600	0.512	0.563
0.600	0.520	0.525	0.520	0.519
0.904	0.846	0.853	0.847	0.848
0.379	0.324	0.325	0.324	0.324
0.368	0.367	0.846	0.115	0.290
0.723	0.509	1.157	0.509	0.830
0.437	0.418	0.413	0.420	0.418
0.629	0.607	0.601	0.609	0.607
0.512	0.465	0.456	0.469	0.465
0.431	0.356	0.397	0.305	0.308
0.603	0.509	0.518	0.511	0.511
1.162	1.076	1.083	1.078	1.079
0.776	0.731	0.729	0.733	0.731
1.218	1.163	1.169	1.164	1.165
1.433	1.491	1.583	1.350	1.349
0.618	0.564	0.560	0.566	0.564
0.824	0.773	0.769	0.774	0.771
0.731	0.656	0.715	0.644	0.665
1.265	1.192	1.224	1.186	1.199
0.815	0.743	1.846	0.457	0.740
1.330	1.282	1.751	1.109	1.150
0.100	-0.063	1.313	-0.354	-0.019
0.485	0.352	0.611	0.346	0.458
0.667	0.548	1.492	0.367	0.711
0.227	0.110	1.499	-0.198	0.217
0.554	0.614	0.731	0.455	0.499
0.476	0.363	0.600	0.349	0.410
0.445	0.379	0.465	0.368	0.411
0.711	0.654	0.780	0.618	0.672
0.581	0.595	1.025	0.405	0.486
0.491	0.443	0.445	0.445	0.445
0.913	1.022	1.204	0.785	0.783
